0.0,aaaaaaaa-0000-1111-2222-hhhhhhhhhhhh,0,1,1,11,1,9,1,0.1,1.1
1.0,bbbbbbbb-3333-4444-5555-iiiiiiiiiiii,0,1,2,12,2,5,1,0.7,1.9
1.0,cccccccc-5555-6666-7777-jjjjjjjjjjjj,1,2,10,20,3,3,1,0.8,1.7
0.0,dddddddd-8888-9999-0000-kkkkkkkkkkkk,3,4,30,40,4,1,1,0.2,1.5
0.0,aaaaaaaa-0000-1111-2222-hhhhhhhhhhhh,5,5,40,50,5,7,1,0.1,1.1
0.0,bbbbbbbb-3333-4444-5555-iiiiiiiiiiii,7,1,3,13,1,6,2,0.7,1.9
1.0,cccccccc-5555-6666-7777-jjjjjjjjjjjj,10,2,11,21,2,2,2,0.8,1.7
0.0,dddddddd-8888-9999-0000-kkkkkkkkkkkk,15,3,20,30,3,4,2,0.2,1.5
0.0,aaaaaaaa-0000-1111-2222-hhhhhhhhhhhh,20,5,41,51,4,2,2,0.1,1.1
0.0,bbbbbbbb-3333-4444-5555-iiiiiiiiiiii,23,4,31,41,5,8,2,0.7,1.9
